Nombre_Articulo,Nombre_Producto,Nombre_Color,PeriodoMes,Tipo,Unidades,Valor_USD
Lavamano,JGO LAVATORIO CHELSEA CP VERDE TEAL,VERDE TEAL,202004,Continuo,4,73.65
Lavamano,JGO LAVATORIO CHELSEA CP VERDE TEAL,VERDE TEAL,202005,Continuo,20,482.32
Lavamano,JGO LAVATORIO CHELSEA CP VERDE TEAL,VERDE TEAL,202006,Continuo,130,3252.55
Lavamano,JGO LAVATORIO CHELSEA CP VERDE TEAL,VERDE TEAL,202007,Continuo,,
Lavamano,JGO LAVATORIO CHELSEA CP VERDE TEAL,VERDE TEAL,202008,Continuo,120,2949.11
Lavamano,JGO LAVATORIO CHELSEA CP VERDE TEAL,VERDE TEAL,202009,Continuo,146,3128.31
Lavamano,JGO LAVATORIO CHELSEA CP VERDE TEAL,VERDE TEAL,202010,Continuo,144,3464.55
Lavamano,JGO LAVATORIO CHELSEA CP VERDE TEAL,VERDE TEAL,202011,Continuo,154,3404.23
Lavamano,JGO LAVATORIO CHELSEA CP VERDE TEAL,VERDE TEAL,202012,Continuo,112,2238.08
Lavamano,LAVAMANOS SHELBY BONE,BONE,202001,Continuo,701,6057.71
Lavamano,LAVAMANOS SHELBY BONE,BONE,202002,Continuo,452,3994.88
Lavamano,LAVAMANOS SHELBY BONE,BONE,202003,Continuo,250,2238.24
Lavamano,LAVAMANOS SHELBY BONE,BONE,202004,Continuo,16,87.4
Lavamano,LAVAMANOS SHELBY BONE,BONE,202005,Continuo,109,962.63
Lavamano,LAVAMANOS SHELBY BONE,BONE,202006,Continuo,1218,10411
Lavamano,LAVAMANOS SHELBY BONE,BONE,202007,Continuo,961,7847.49
Lavamano,LAVAMANOS SHELBY BONE,BONE,202008,Continuo,1202,8863.63
Lavamano,LAVAMANOS SHELBY BONE,BONE,202009,Continuo,884,6768.31
Lavamano,LAVAMANOS SHELBY BONE,BONE,202010,Continuo,1256,8885.97
Lavamano,LAVAMANOS SHELBY BONE,BONE,202011,Continuo,1204,7201.28
Lavamano,LAVAMANOS SHELBY BONE,BONE,202012,Continuo,723,6024.85
Lavamano,LAVATORIO CHELSEA INS. BLANCO,BLANCO,202001,Continuo,,
Lavamano,LAVATORIO CHELSEA INS. BLANCO,BLANCO,202002,Continuo,19,270.57
Lavamano,LAVATORIO CHELSEA INS. BLANCO,BLANCO,202003,Continuo,4,67.36
Lavamano,LAVATORIO CHELSEA INS. BLANCO,BLANCO,202004,Continuo,94,1409.06
